제목,저자,출판사,가격,서평,Link,category
전지적 독자 시점 11~12 세트,싱숑,에이템포미디어,"28,800원","누적 조회 수 1억 뷰,레전드 판타지 웹 소설 마침내 웹툰으로.총 연재 횟수 3,149회평균 조회 수 1.9회평균 댓글 수 1.08개10년 넘게 나 혼자 읽어온 소설의 완결을 본 그날.소설 속 세계는 현실이 되었고, 이 세계의 결말을 알고 있는 유일한 독자가 되었다.이것은 독자(讀者)의 설화. 동시에, 독자(獨子)의 설화.단, 한 사람의 독자를 위한 이야기다.[지금부터 메인 시나리오가 시작됩니다.]",http://www.yes24.com//Product/Goods/140292605,스마트폰과 SNS 사용
한 권으로 끝내는 해커스 토익 700+ (LC+RC+VOCA),해커스 어학연구소,해커스어학연구소,"17,820원","최신기출유형 100% 반영 
20일 만에 토익 LC+RC+VOCA 한 권으로 끝!

토익 기초부터 실전까지 한 권으로 완성한다. 나에게 딱 맞는 [20일 학습플랜]으로 단번에 목표점수 달성! 확실한 목표점수 달성을 위한 [기초 다지기 & 영역별 기출 핵심 포인트]를 수록했고 최신 토익 기출유형을 완벽 반영한 풍부하고 다양한 문제를 수록했다. 독학도 가능한 상세한 강의식 해설! 무료 [토익 실전모의고사 2회분(교재 1회+온라인 1회)]를 제공한다.",http://www.yes24.com//Product/Goods/105853213,경제적 안정과 투자
어린 왕자 오리지널 초판본,앙투안 드 생텍쥐페리,코너스톤(도서),"3,300원","‘가장 중요한 것은 눈에 보이지 않아.’모두가 사랑하는 『어린 왕자』를 초판본 디자인으로 만나보세요.“네가 만약 오후 네 시에 온다면, 나는 세 시부터 행복할 거야. 그리고 시간이 갈수록 더 행복해지겠지. 네 시가 되면 흥분으로 안절부절못할 거야. 그래서 행복이 얼마나 값진 것인지 알게 되겠지! 하지만 네가 아무 때나 오면, 난 언제 마음의 준비를 해야 할지 모를 거야…. 그래서 의식이 필요한 거야.”사막에 추락한 조종사가 지구를 여행 중인 어린 왕자를 만나는 생텍쥐페리의 대표작, 『어린 왕자』는 1943년 출간 이래로 지금까지 연극, 영화, 뮤지컬, 만화, 애니메이션, 오페라, 샹송, 카세트테이프, CD 등 다양한 매체로 변용되어 많은 사랑을 받고 있다. 독자들이 읽을 때마다 늘 새로운 의미를 발견하게 해주는 『어린 왕자』는 디지털 시대에 아날로그적인 종이 책만 1억 5천만 부 이상이 팔린 것으로 유명하다. 코너스톤에서 새롭게 출간된 『어린 왕자』는 미국에서 처음 출간되었던 1943년 초판본 이미지를 그대로 담았다. 순수한 어린 왕자와 함께 잊어버린 그 마음을 찾으러 함께 떠나보자!",http://www.yes24.com//Product/Goods/93082287,스마트폰과 SNS 사용
행복할 거야 이래도 되나 싶을 정도로,일홍,부크럼,"16,200원","당신의 행복을 찾아 주고 싶다이렇게 행복해도 되나 싶을 정도로이런 하루가, 이런 인생이 좋다고 말할 정도로10만 독자의 행복을 채집해 줄 일홍 작가의 응원하루를 버텨 내는 긍정과 용기의 문장들오늘 당신은 어떤 하루를 보냈을까. 계획했던 일이 틀어지지는 않았는지, 노력했던 일을 해내지 못하진 않았는지, 그런 스스로가 괜히 나약해 보이지는 않았는지. 어쩌다 했던 작은 실수가 눈앞에 어른거리기도 하겠다. 하루를 열심히 살아 내고 또 나아가고자 도전하는 당신에게 틀림없는 행복이 찾아올 거라 확신을 주는 『행복할 거야 이래도 되나 싶을 정도로』. 매일을 버텨 내고 있는 당신이 가슴 깊이 새겨 두면 좋을 글이 가득하다.『그게 너였으면 좋겠다』, 『잘 살고 싶은 마음이 어렵게 느껴질 때』로 수많은 독자의 사랑을 받은 작가 일홍, 이번에는 일상 속에서 애쓰고 있는 당신의 낮과 밤에 행복을 불어넣어 주고자 펜을 들었다. 『행복할 거야 이래도 되나 싶을 정도로』는 당신에게 삶을 긍정하는 방법을 선명하게 열어 줄 안내서가 되어 줄 것이다. 삶의 어쩔 수 없는 좌절과 마음의 소란을 버텨 내는 노력이, 독자로 하여금 깊은 공감을 하게 만들고 그 공감은 나 홀로 힘든 게 아니라는 위안이 되어 줄 것이다. 더 나은 이가 되려 노력하는 당신의 곁에 행복이 항상 존재함을 깨달았으면 하는 마음이다.이 도서의 한 페이지를 펼치면 지금보다 더 괜찮은 하루를 살아갈 수 있다는 단단한 믿음과 그 시간을 응원하는 글들이 반겨 줄 것이다. 감성적인 문장과 위로의 메시지에는 당신의 인생이 빛나고 있음을 확신하고 있다. 당신이 매시간 얼마나 힘쓰고 있는지 누구보다도 잘 안다고, 그러니 그 애씀의 끝에는 마침내 믿을 수 없을 만큼의 행복이 펼쳐질 거라고. 그렇게 다정하면서도 공감할 수 있는 문장들로 작가는 당신의 지친 마음을 보듬어 주고자 한다. 당신의 열정은 헛되지 않았다. 그 기간은 더욱 성숙한 당신으로 변화하기 위한 나날들이었다고.“행복은 고생 끝에 오는 게 아니라 처음부터 끝까지 언제나 존재하는 것.”작가는 ‘지금 무엇이든 행복이라 느낄 수 있다면, 언제나 행복할 수 있다는 것을 명심하며 살아가려 한다.’라고 말한다. 당신도 다양한 곳에서 행복을 찾으면 매일이 안온할 테다. 그렇게 오늘 하루도 괜찮았다고, 이런 행복이 끝없이 이어질 거라 믿기를.행복을 찾지 못하고 애꿎은 곳만 두리번거리는 이의 손바닥 위에 『행복할 거야 이래도 되나 싶을 정도로』는 굳은 응원을 건네주고자 한다. 부단히 걸어온 길 위에서 반짝이는 행복을 건져 주는 유일한 도서, 『행복할 거야 이래도 되나 싶을 정도로』.",http://www.yes24.com//Product/Goods/129775130,일과 삶의 균형
라이프 임파서블,매트 헤이그,인플루엔셜,"16,200원","『미드나잇 라이브러리』 작가 매트 헤이그 4년 만의 신작삶의 기대를 버렸을 때,마법의 섬에서 초대장이 도착했다★ 출간 즉시 뉴욕타임스 · 선데이타임스 베스트셀러★ 아마존 · 아마존UK 베스트셀러★ 타임, 굿리즈, 라이브러리저널, 피플 등 2024 필독서 선정전 세계 1000만부 판매를 기록한 초대형 베스트셀러 『미드나잇 라이브러리』의 작가 매트 헤이그의 신작이 출간되었다. 국내 서점가에 그야말로 힐링 판타지 열풍을 일으킨 전작 이후 4년 만에 선보이는 장편소설이다. 마법의 도서관에서 과거의 후회스러운 선택을 되돌리려 하는 전작과 달리, 이번에는 죄책감이란 감옥에 자신을 가둔 할머니에게 마법의 섬에서 초대장이 도착하면서 미래를 바꾸는 도전이 펼쳐진다. 아들과 남편을 떠나보낸 후 삶의 의미를 잃어버린 그레이스 할머니는 삶이라는 경이롭고 미스터리한 모험을 다시 시작할 수 있을까?『라이프 임파서블』은 삶의 두 번째 기회와 무한한 가능성, 생명에 대한 경외 등 작가가 오랫동안 탐구해온 주제를 한층 확장해 보인다. 작가 스스로 “내 모든 것을 쏟아부은 자랑스러운 이야기”라고 밝혔을 만큼 매트 헤이그 작품 세계의 정수를 보여준다. 그간 소설과 에세이, 동화를 종횡무진하며 성공을 거두었으나 번아웃과 우울증, ADHD 진단 등 어려움을 겪으며 글쓰기를 그만두려 했던 작가가 새롭게 선보인 작품이기에, 기다려온 독자들에게는 더욱 특별한 선물일 것이다. 그만의 마법 같은 이야기는 다시 한번 뭉클한 감동과 진실한 메시지로, 우리에게 살아갈 힘을 북돋아준다.“삶을 긍정하는 경이로움과 상상력으로 가득한 아름다운 소설.” -베네딕트 컴버배치(배우)",http://www.yes24.com//Product/Goods/139591308,일과 삶의 균형
가짜 건강의 유혹,빅데이터닥터,행성B,"17,100원","팔란티어, 테슬라에서 발견하는 진짜 건강으로 가는 알고리즘논리적 사고로 건강을 정의한 심장내과 전문의 빅데이터닥터 “병원 한번 안 다닐 만큼 건강했다.” 건강을 자부하는 이들에게 빅데이터닥터는 묻는다. 당신이 생각하는 건강은 무엇이냐고. 그리고 병원 한번 안 갔다는 것은 몸 상태를 그만큼 모르는 것 아니냐고. 심장내과 전문의이자 유튜버 빅데이터닥터가 건강을 정의하고 최선의 의사 결정을 할 방법을 담아 책으로 펴냈다. 『가짜 건강의 유혹』은 몸에 좋다는 음식, 수도 없이 쏟아지는 영양제, 각종 요법 등 검증되지 않은 건강 정보가 넘쳐나는 이 시대에 독자 스스로 자신의 몸을 어떻게 생각하고 다루어야 하는지 냉정하고 객관적으로 진단한다. 그 방법으로 빅데이터를 생산하는 기업 팔란티어의 문제 해결 방식과 테슬라의 검증 스타일을 접목, 기존의 사고 체계를 흔들어 깨우며 새로운 접근법을 안내한다. 이 책은 건강 비법을 알려주는 것을 훌쩍 뛰어넘는다. 객관화된 데이터를 기반으로 개념을 구체화하고 내가 해야 하고 할 수 있는 일의 가이드를 만들어 최선의 의사 결정을 하게끔 안내한다. 건강을 돌보는 한편, 모호했던 사고를 명확하게 알고리즘화하도록 이끈다.",http://www.yes24.com//Product/Goods/140203842,경제적 안정과 투자
말투만 바꿨을 뿐인데,김민성,프로파일러 북스,"16,020원","CJ ENM 쇼호스트, 베스트셀러 작가, 스피치 관련 강사로 활동하는 저자는 그 누구보다 말하기에 친숙한 1인이다. 하지만 그가 처음부터 말을 잘했던 건 아니다. 오히려 그 반대 상황에 가까웠다. 실제로 저자는 본인이 이야기할 때마다 주변 사람들이 얼굴을 찡그리고, 한숨을 쉬며 땅을 바라봤다고 고백한다. 이런 그는 본격적으로 ‘말공부’를 시작하면서 “말투 하나로 인생을 바꿀 수 있다.”는 깨달음을 얻는다. 이 책은 저자가 직접 말투를 바꿔 나가면서 터득한 노하우를 압축한 내용으로 ‘상대방의 호감을 얻는 말투’, ‘어디에서나 돋보이는 말투’, ‘감정 소모를 줄여주는 말투’, ‘설득이 쉬워지는 말투’, ‘스스로 자존감을 올리는 말투’ 총 5개의 영역으로 구성되어 있다. 만일 말투 하나로 달라진 일상을 누리고 싶다면 이 책을 열기만 하면 된다. 분명 어제보다 나은 오늘로 데려다 줄 것이다.",http://www.yes24.com//Product/Goods/133642141,일과 삶의 균형
타키 포오의 이세계 여행사 8,캐릭온TV,대원씨아이(단행)(대원키즈),"13,050원","아이가 직접 고르는 책! 책의 즐거움과 교훈을 스스로 알아가요!243만 구독자, 대한민국 최고의 유튜버 캐릭온TV의 ’타키와 포오‘가 이세계 여행사를 차리고 여러분을 기다립니다! 유튜브 채널에서 만나볼 수 없었던 새로운 이야기를 책으로 만나 보세요! 검증된 베스트셀러 작가를 통해 재탄생한 타키와 포오의 기상천외한 모험 이야기! 책을 읽는 사이 나도 몰랐던 탐험심, 도전 정신 UP! 서로를 돕고 이끄는 진~한 우정에 감동! 보너스로 상상력과 창의력도 업그레이드 됩니다. 독자가 인정하고 판매로 증명된 책을 직접 만나보세요!",http://www.yes24.com//Product/Goods/139932080,커리어 개발
경기도 부동산의 힘,김학렬,에프엔미디어,"26,100원","서울은 비싸고, 지방은 불안하다.‘준서울’ 내 집 마련부터 ‘갓성비’ 투자까지 경기도가 답이다!원조 신도시부터 3기 신도시까지 26개 지역 완벽 분석 경기도 부동산시장을 넓고 또 깊게 분석하면서 투자 기간, 목적, 크기에 따른 개별적인 투자 전략까지 세밀히 짚어주는 책. 저자는 닉네임 ‘빠숑’ 하나로 더 이상 설명이 필요 없는 인물이지만, 최근 생성형 AI(챗GPT)도 국내 최고의 부동산 전문가로 꼽아 화제를 모으기도 했다. 그는 서울은 너무 비싸서, 지방은 불안해서 막막해하는 내 집 마련 실수요자와 아파트 투자자에게 경기도야말로 서울을 대체하면서 성장 잠재력이 높은 최적의 대안이라고 말한다. 책은 과천, 성남 등 원조 신도시부터 남양주 왕숙, 부천 대장 등 3기 신도시까지 경기도 26개 핵심 지역의 특성과 개발 현황, 투자 포인트 등을 샅샅이 조사하고 각 지역에 맞는 투자 전략을 제시한다. 또 GTX 노선(A~F)의 의미와 영향력을 분석하면서 교통 호재가 경기도 부동산시장에 불러일으킬 바람을 한발 먼저 내다보면 큰 기회를 잡을 수 있다고 조언한다.     핵심 지역 22곳의 투자 정보를 담은 특별 별책부록 〈경기도 부동산 보물 지도〉(48쪽, 올 컬러)는 책의 가치와 실용성을 한층 더 높인다. 재개발, 재건축, 리모델링 등 정비사업이 진행 중인 단지 각각의 상태뿐 아니라 소규모 정비사업과 가로주택정비사업까지 표시했다. 교육, 교통, 생활 인프라가 잘 갖추어진 살기 좋은 아파트를 한눈에 알아볼 수 있으며, 현장 답사 때 휴대용으로도 유용하다.",http://www.yes24.com//Product/Goods/139912069,경제적 안정과 투자
순례 주택,유은실,비룡소,"13,500원","“수림아, 어떤 사람이 어른인지 아니?”자기 힘으로 살아 보려고 애쓰는 사람이야.”행복해지려고 노력하는 모든 이에게 전하는 유은실의 단.짠.단.짠 위로한국어린이도서상, IBBY 어너리스트 수상작가 유은실의 신작 청소년 소설. 약 3년 만에 발표되는 이번 새 청소년 소설 『순례 주택』에도 독특한 캐릭터, 유머, 촌철살인의 진한 메시지까지 진가를 유감없이 발휘했다. 코믹 발랄한 캐릭터 설정과, 순례 주택을 둘러싼 한바탕 대소동은 기발하면서도 유쾌하다. 아동청소년의 경계를 훌쩍 넘으며 모든 세대의 지지를 이끌어 내온 ‘유은실 월드’의 또 하나의 성취라고 얘기할 수 있을 것이다. 약간은 막 가는 수림이네 네 식구가 쫄딱 망한 뒤, 돌아가신 외할버지의 옛 여자친구의 빌라‘순례 주택’으로 이사 들어가면서 벌어지는 이야기이다. 솔직하지 못한 엄마, 누군가에게 얹혀사는 데 일가견 있는 아빠, 라면은 끓일 줄 모르고 컵라면에 물만 겨우 부을 줄 아는 고등학생 언니까지, 졸지에 망한 수림이네 가족은 평소 업신여기던 순례 주택으로 이사 오게 된다. “온실 밖으로 나와 세상에 적응하게끔” 훈련시켜 주려는 순례 씨의 원대한 계획이 시작된 것이다. 자기 힘으로 살아 보려고 애쓰는 순례 주택에 세 들어 사는 사람들 사이에서 수림이네 가족은 진정한 어른으로 거듭날 수 있을까?",http://www.yes24.com//Product/Goods/97963475,경제적 안정과 투자
인간 실격,다자이 오사무,민음사,"8,100원","인간의 나약함을 탁월하게 묘사하는 다자이 오사무의 작품을 새롭게 읽는다. 순수하고 여린 심성의 젊은이가 인간 사회의 위선과 잔혹성을 견디지 못하고 파멸되어 가는 과정을 그린 소설로, 어느 세계에도 속하지 못한 채 인간 실격자로 전락한 주인공의 내면을 치밀한 심리묘사로 기록하였다. 다자이 작품 속의 타락과 자기파괴적 언행은 제2차 세계대전에서 패망한 후 공황상태에 빠진 일본 젊은이들의 의식을 반영하고 있다. 

다자이 작품은 기성세대의 가치관 및 윤리관, 도덕관이 패전과 함께 붕괴되면서 기존 사회에 속한 모든 것을 거부하고 새로이 시작하고자 하는 처절한 몸부림을 담고 있다. 어떻게든 사회에 융화하고자 애쓰고, 인간에 대한 구애를 시도하던 주인공이 결국 모든 것에 배반당하고 인간 실격자가 되어가는 패배의 기록인 이 작품은 그런 뜻에서 현대 사회에 대한 예리한 고발 문학이라 할 수 있다.

함께 실린 작품, 「직소」는 ‘나약한 인간으로서의 유다’라는 새로운 시각을 보여준다. 유다가 예수를 고발하는 자리에서 늘어놓는 이야기를 마치 독자가 현장에서 함께 듣고 있는 것처럼 서술한 작품으로, 예수를 흠모하고 사랑했지만 그 사랑이 거부당한 데 대한 분노와 반발심으로 예수를 팔아넘기게 되는 유다의 갈등과 번민을 생생하게 묘사하고 있다.",http://www.yes24.com//Product/Goods/1387488,경제적 안정과 투자
1984,조지 오웰,민음사,"9,900원","21세기, 고도의 정보화 사회에 던지는 조지 오웰의 경고
거대 지배 체제하에 놓인 개인은 어떻게 저항하고 어떻게 시스템에 의해 파멸되는가
세계가 나아갈 방향을 제시하는 탁월한 통찰

“과거를 지배하는 자는 미래를 지배한다. 현재를 지배하는 자는 과거를 지배한다.”

조지 오웰 탄생 100주년, 그의 작품을 통해 오늘을 되돌아보다

조지 오웰의 대표작 『1984』는 1949년에 발표된 디스토피아 소설로 『동물농장』과 함께 60여 개국의 언어로 번역된 작품이다. 당시 비평가들은 이 작품을 소련의 전체주의를 비판하면서 미래에 대해 예언한 소설이라고 평했다. 1949년 6월 12일 자 《뉴욕 타임스》에 “올해 출간된 작품 중 『1984』는 가장 동시대적인 작품”이라고 실렸을 정도로 작품에 담긴 시사적인 함의도 뚜렷했다. 그렇다면 소련이 붕괴한 오늘날, 작품이 갖는 의미는 더 이상 유효하지 않은가? 물론 그렇지 않다. 사회 심리학자 에리히 프롬이 『1984』를 스탈린주의의 잔학함에 대한 묘사로만 해석하고 그것이 서구 사회에 의미하는 바를 알지 못한다면 정말 불행한 일일 것이라고 말했듯이, 작품의 제목인 ‘1984년’(오웰은 이 작품을 1948년에 완성했는데, ‘1984년’이라는 제목은 ‘48’을 뒤바꾼 것이라고 한다.)이 거의 20년이나 지난 오늘날 우리 사회까지 그의 작품이 던지는 메시지는 충분한 의미를 담고 있다.",http://www.yes24.com//Product/Goods/372300,커리어 개발
언리미티드 어드벤처 1,앤디 그리피스,비룡소,"14,400원","1300만 부 베스트셀러 『13층  나무 집』앤디 그리피스 신작!여지없이 허를 찌르는 상상력과 저항 없이 터지는 웃음 대잔치!멀티밀리언셀러 작가 앤디 그리피스의 대형 신작 시리즈‘나무 집’ 시리즈로 세계적인 인기 작가가 된 앤디 그리피스의 신작이 비룡소에서 출간되었다. 전 세계 37개 언어권에서 누적 판매 1300만 부를 기록한 나무 집 시리즈는 한국 독자들에게도 많은 사랑을 받았다. 그가 또다시 야심차게 준비한 새 시리즈를 선보인다. 「언리미티드 어드벤처(Adventures Unlimited)」. 말 그대로 어떤 한계도 두지 않고 그의 장기인 기발한 상상력을 원 없이, 신나게 발휘해 보겠다는 포부와 배짱이 느껴지는 제목이다. 첫 권에서 만나 볼 모험은 ‘잃어버린 물건들의 나라’에서 펼쳐진다. 시도 때도 없이 사라지는 양말짝과 리모컨, 동전 등이 사방에 널린 낯선 땅에서, 주인공들은 ‘행운의 토끼 발’을 찾기 위한 모험을 하다 자동차도 잃고, 길도 잃고, 기억도 판단력도 잃는 그야말로 ‘대환장 파티’가 벌어지는데...“방금 내 기니피그 푸키를 찾았어! 몇 주 전에 잃어버렸는데 여기 있었네!” (중략)“그거 좋은 생각이다! 보물을 찾으러 가자. 그게 바로 우리가 할 모험이겠지!” 네가 신나게 하는 말에 내가 대꾸했지. “좋아. 하지만 난 잃어버린 토끼 발도 찾을 거야.” “그럼 나도 푸키를 찾을래.” “너 방금 푸키 찾았잖아.” “응, 그랬지. 그런데 또 잃어버렸어.”  _본문에서?앤디 그리피스의 작품이니 재미는 보장될 터. 그러나 제목만 봐서는 대체 무슨 내용일지 도무지 예상되지 않는다. 그래서 더욱 궁금해하고 기대할 독자들이 많을 것이다. 결론부터 말하자면, ‘자신 있게 선보일 만한 완전히 새로운 시리즈’라는 것.",http://www.yes24.com//Product/Goods/139801305,경제적 안정과 투자
큰별쌤과 재미있게 공부하는 초등 한국사능력검정시험,최태성,이투스북 ,"17,100원","큰별쌤과 재미있게 공부하는 초등 한국사능력검정시험초등학생을 위한 큰별쌤 최태성의 한국사능력검정시험 대비 무료 강의 교재로, 한국사능력검정시험을  준비하는 초등학생의 눈높이에 맞게 내용을 구성하였다. 20년 넘게 판서를 연구해 온 판서의 장인 큰별쌤이 핵심만을 모아 만들어낸 22개의 아트 판서를 수록하였고, 시험에 1문제씩은 꼭 출제되는 '세시 풍속과 민속놀이', '지역사'와 자주 출제되는 '역사 속 인물', '시대 통합 문제'를 기출문제와 함께 정리하였다. ※ 제시된 이미지는 책의 뒷표지입니다. 『큰별쌤과 재미있게 공부하는 초등 한국사능력검정시험』의 앞표지는 '한국해비타트 독립유공자 후손 주거 지원'에 함께 해주신 최태성 1,2TV 별님들로 구성되었습니다.",http://www.yes24.com//Product/Goods/126964863,경제적 안정과 투자
흔한남매 16,흔한남매,미래엔아이세움,"13,050원","평범한 일상에 웃음을 불어넣는 흔한남매의 통통 튀는 이야기!

에이미의 화 참기 도전, 뮤지컬 전쟁을 펼치는 흔한남매, 아이돌 학교에서 살아남는 방법, 너튜버가 된 엄마, 데굴데굴 왕풍선 체험, 공포의 노래방 안내 방송 등 개성이 통통 튀는 흔한남매의 일상 속으로 빠져 볼까요?",http://www.yes24.com//Product/Goods/126029503,일과 삶의 균형
해리가 샐리를 만났을 때 각본집,노라 에프런,클,"18,000원","여전히 로맨틱 코미디를 대표하는 걸작영화 [해리가 샐리를 만났을 때]를35년 만에 각본집으로 만난다!흥미로운 비하인드 스토리를 담은 노라 에프런의 에세이,해리와 샐리의 우연인 듯 운명 같은 사랑과 우정의 이야기를 담은해리와 샐리에 관한 모든 것!_역대 로맨틱 코미디 영화 1위 _CinemaBlend_로맨틱 코미디의 바이블 _film.list_크리스마스와 어울리는 완벽한 영화 _Spectator Archive_가장 현실적인 로맨틱 코미디 _Washington Post할리우드의 거장 롭 라이너가 연출하고 노라 에프런이 각본을 쓴, 역대 최고의 로맨틱 코미디 영화 [해리가 샐리를 만났을 때]를 각본집으로 만난다.남자와 여자는 친구가 될 수 없다는 해리, 남자와 여자도 우정을 나눌 수 있다는 샐리. 둘은 친구의 소개로 처음 만나 뉴욕으로 가는 차를 공유한다. 첫 만남이 마지막일 줄 알았던 두 사람은 5년 후 우연히 만나 스쳐 가고, 다시 5년 후 뜻하지 않게 재회한다. 우연인 듯 운명인 듯 반복되는 만남에 마침내 해리와 샐리는 친구가 된다. 그런데 이상하다. 언젠가부터 둘은 곁에 있는 서로가 신경 쓰이기 시작한다. 성격도, 취향도, 사랑에 관한 관점도 다른 정반대의 두 사람은 과연 친구에서 연인이 될 수 있을까?",http://www.yes24.com//Product/Goods/138257633,스마트폰과 SNS 사용
혼자 해도 프로 선생님처럼 잘 만드는 학교 수업 자료 with 캔바 Canva,김태훈,한빛미디어,"20,700원","선생님들을 위해, 선생님들이 집필한 에듀테크 캔바 활용 비법서캔바로 수업하면 학생 참여도와 학습 효과 두 마리 토끼를 한번에!이제까지 선생님을 위한 교육용 캔바의 사용법을 알려주는 책은 없었다. 그래서 유치원, 초등학교, 중학교, 고등학교에서 근무하는 현직 교사 5인이 의기투합하여 이 책을 펴냈다. 단순히 캔바 기능을 설명하는 매뉴얼서가 아니다. 오직 ‘선생님’만을 위한, 수업 자료 제작 가이드북이다. 교육 현장 경험이 없어도, 디자인 툴 사용이 서툴러도 괜찮다. 챕터마다 현직 교사 5인의 꼼꼼한 설명과 현장 노하우를 담은 '선생님의 꿀팁'이 있어, 혼자서도 즐겁게 캔바로 수업 자료를 만들 수 있다. 챕터 마지막의 ‘선생님의 특강’을 통해 에듀테크의 무궁무진한 가능성도 확인할 수 있다. 현직 교사들의 교육용 캔바 활용 노하우를 차근 차근 따라 하면 어느새 '혼자 해도 프로 선생님처럼 수업 자료를 만드는 자신’을 보고 놀라게 될 것이다. '오늘은 어떻게 수업해볼까?' 생각만 하지 말고, 지금 당장 캔바로 교실 혁명의 꿈을 펼쳐보는 건 어떨까?",http://www.yes24.com//Product/Goods/135760031,커리어 개발
어떤 어른,김소영,사계절,"16,200원","『어린이라는 세계』로 20만 독자와 만난 김소영 작가가 4년 만에 신작 에세이 『어떤 어른』을 출간했다. 전작이 ‘어린이’라는 존재를 고유한 세계를 가진 개인이자 동료 시민, 다음 세대로서 호명하는 작업이었다면, 신간 『어떤 어른』은 어린이와 함께 동시대를 살아가는 어른의 자리를 살피고 어린이가 또 한 사람의 어른으로 성장하기까지 필요한 어른의 역할을 탐색하는 책이다. 『어린이라는 세계』를 통해 어린이를 새롭게 발견하고 인식하게 된 사람들은 자연스럽게 ‘그렇다면 나는 어떤 어른이 되어야 할까?’라는 물음을 던지게 된다. 이 물음 앞에서 작가는 ‘어떤’의 자리를 채우기보다는 어린이가 어른을 보고 있음을, 보면서 배우고 깨닫고 변화하고 있음을 말한다. 어린이와 어른의 관계를 생각할 때 흔히 작고 약하고 미성숙한 어린이를 어른이 지켜보는 장면을 떠올리지만, 어린이 역시 어른을 보고 있다는 것이다. 어른을 보면서 세상이 어떤 곳인지 배우고, 어떻게 살아야 하는지 궁리하며 하루하루 성장해가는 것이 어린이가 하는 일이다. 이 과정을 기억하고 짐작할 수 있는 어른이라면, ‘어떤 어른’이어도 좋다고 작가는 말하고 있다. 어린이에게는 다양한 어른이 필요하기 때문이다. 신간 『어떤 어른』에는 작가의 일터인 독서교실을 비롯해 세탁소, 동네 식당, 산책로 같은 일상의 공간과 학교, 도서관, 박물관 등 공공장소에서 어린이와 어른이 서로 바라보고 대화하고 스쳐 지나가는 다양한 순간들이 등장한다. 법과 제도, 역사와 문화의 얼굴을 한 어른과 그 울타리 안에서 내일의 어른으로 성장해가는 어린이의 모습도 볼 수 있다. 어린이 가까이에서 쓴 이 생동감 넘치는 일화들을 통해 독자는 어린이의 시선이 닿는 자리에 있어야 할 어른의 모습을 그려볼 수 있다. 어린이가 미래를 살아갈 사람이라면, 어른은 그 미래를 상상할 수 있는 밑그림을 보여주는 사람이다. 우리가 ‘어떤 어른’이 되기로 하느냐에 따라 우리의 미래는 달라질 것이다.",http://www.yes24.com//Product/Goods/136274983,일과 삶의 균형
비트코인 슈퍼 사이클,신민철(처리형),거인의정원,"22,500원","수십 배 상승했다가도 80% 폭락하는 비트코인, 어떻게 돈을 벌어야 하나!
이 책은 개인투자자가 비트코인을 언제 매수하고 언제 매도할지 알려주는 실전 투자서!

- 수십억 원 비트코인을 모으며 깨달은 마법의 비트코인 투자법!
- 매수 타이밍, 매도 가격, 보유 기간별 수익률 등 현실적인 반감기 투자 전략 AtoZ
- 반감기마다 비트코인 가격 평균 220배씩 상승, 4차 반감기는 인생 최고의 기회!

수년 전과 비교했을 때 이제 비트코인을 모르는 사람은 거의 없다. 사기꾼, 투기, 도박이라는 온갖 오명으로 물들었던 비트코인의 역사는 2024년 미국 현물 ETF 승인을 통해 전환점을 맞이했다. 드디어 제도권의 품 안에 들어온 비트코인, 이제 남은 최대 이슈는 반감기다.

책의 저자 처리형(신민철)이 30대에 경제적 자유를 이룬 비결을 미국주식이었다. 그런 그가 올해 가장 폭발적으로 상승할 것이라 예상하는 자산이 바로 비트코인이다. 그 또한 자산의 대부분을 비트코인으로 바꿔둘 정도다. 특히 2024년에는 비트코인 4차 반감기가 있고, 이 반감기는 수요 공급의 원리에 따라 가격이 상승할 수밖에 없는 구조적인 특징이 있기 때문에 특히 더 중요하다. 비트코인에 대한 어떠한 인문학적 소양이나 기술적 이해 없이도 이 책을 통해 비트코인 사이클 투자의 원리를 익히고, 나아가 2년 안에 경제적 자유를 이룰 수 있기를 바란다.",http://www.yes24.com//Product/Goods/124717965,경제적 안정과 투자
